,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Liverpool,Georginio Wijnaldum,NED,MF,26,1990,26.5,1,38,9,23.7,1.43,0.34,0.03,0.11,19.0,1,0,0,2.8,2.8,0.07,-1.8,-1.8
ENG-Premier League,1718,Liverpool,James Milner,ENG,MF,31,1986,19.7,0,21,5,23.8,1.06,0.25,0.0,0.0,19.9,1,0,0,1.1,1.1,0.05,-1.1,-1.1
ENG-Premier League,1718,Liverpool,Joe Gomez,ENG,DF,20,1997,21.1,0,5,0,0.0,0.24,0.0,0.0,,21.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,1718,Liverpool,Jordan Henderson,ENG,MF,27,1990,24.1,1,15,3,20.0,0.62,0.12,0.07,0.33,23.8,1,0,0,1.2,1.2,0.08,-0.2,-0.2
ENG-Premier League,1718,Liverpool,Joël Matip,CMR,DF,25,1991,22.2,1,11,2,18.2,0.5,0.09,0.09,0.5,11.0,0,0,0,1.9,1.9,0.17,-0.9,-0.9
ENG-Premier League,1718,Liverpool,Loris Karius,GER,GK,24,1993,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Liverpool,Marko Grujić,SRB,"MF,DF",21,1996,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Liverpool,Mohamed Salah,EGY,FW,25,1992,32.3,32,142,64,45.1,4.4,1.98,0.22,0.48,15.3,4,1,2,24.1,22.6,0.16,7.9,8.4
ENG-Premier League,1718,Liverpool,Nathaniel Clyne,ENG,"DF,FW",26,1991,1.9,0,2,1,50.0,1.03,0.52,0.0,0.0,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1718,Liverpool,Philippe Coutinho,BRA,"MF,FW",25,1992,12.3,7,54,17,31.5,4.38,1.38,0.13,0.41,24.0,10,0,0,3.5,3.5,0.07,3.5,3.5
ENG-Premier League,1718,Liverpool,Ragnar Klavan,EST,DF,31,1985,16.1,1,1,1,100.0,0.06,0.06,1.0,1.0,0.9,0,0,0,0.9,0.9,0.87,0.1,0.1
ENG-Premier League,1718,Liverpool,Roberto Firmino,BRA,FW,25,1991,30.7,15,83,36,43.4,2.7,1.17,0.17,0.39,17.1,0,1,1,10.7,9.9,0.12,4.3,4.1
ENG-Premier League,1718,Liverpool,Sadio Mané,SEN,FW,25,1992,24.3,10,70,26,37.1,2.88,1.07,0.14,0.38,15.4,0,0,0,10.6,10.6,0.15,-0.6,-0.6
ENG-Premier League,1718,Liverpool,Simon Mignolet,BEL,GK,29,1988,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Liverpool,Trent Alexander-Arnold,ENG,DF,18,1998,17.5,1,12,5,41.7,0.69,0.29,0.08,0.2,21.5,1,0,0,1.0,1.0,0.08,0.0,0.0
ENG-Premier League,1718,Liverpool,Virgil van Dijk,NED,DF,26,1991,14.0,0,16,6,37.5,1.14,0.43,0.0,0.0,15.7,1,0,0,1.2,1.2,0.07,-1.2,-1.2
ENG-Premier League,1718,Manchester City,Aymeric Laporte,ESP,DF,23,1994,9.0,0,3,0,0.0,0.33,0.0,0.0,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1718,Manchester City,Benjamin Mendy,FRA,"DF,FW",23,1994,4.0,0,5,1,20.0,1.24,0.25,0.0,0.0,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1718,Manchester City,Bernardo Silva,POR,"FW,MF",22,1994,17.0,6,25,14,56.0,1.47,0.82,0.24,0.43,14.0,0,0,0,3.8,3.5,0.14,2.2,2.5
ENG-Premier League,1718,Manchester City,Brahim Díaz,MAR,"FW,DF",17,1999,0.6,0,3,1,33.3,4.91,1.64,0.0,0.0,13.8,0,0,0,0.5,0.5,0.16,-0.5,-0.5
ENG-Premier League,1718,Manchester City,Claudio Bravo,CHI,GK,34,1983,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Manchester City,Danilo,BRA,DF,26,1991,15.0,3,19,7,36.8,1.27,0.47,0.16,0.43,23.4,1,0,0,1.1,1.1,0.06,1.9,1.9
