,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1718,Southampton,Sam McQueen,ENG,"DF,MF",22,1995,1.6,0,1,0,0.0,0.61,0.0,0.0,,18.5,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,1718,Southampton,Shane Long,IRL,FW,30,1987,17.6,2,33,13,39.4,1.88,0.74,0.06,0.15,12.5,0,0,0,3.7,3.7,0.11,-1.7,-1.7
ENG-Premier League,1718,Southampton,Sofiane Boufal,MAR,"FW,MF",23,1993,13.5,2,30,6,20.0,2.21,0.44,0.07,0.33,18.3,0,0,0,1.7,1.7,0.06,0.3,0.3
ENG-Premier League,1718,Southampton,Steven Davis,NIR,MF,32,1985,16.9,3,13,4,30.8,0.77,0.24,0.23,0.75,19.8,0,0,0,0.9,0.9,0.07,2.1,2.1
ENG-Premier League,1718,Southampton,Virgil van Dijk,NED,DF,26,1991,11.0,0,11,0,0.0,1.0,0.0,0.0,,12.9,0,0,0,0.9,0.9,0.08,-0.9,-0.9
ENG-Premier League,1718,Southampton,Wesley Hoedt,NED,DF,23,1994,28.0,0,15,2,13.3,0.54,0.07,0.0,0.0,14.4,0,0,0,1.3,1.3,0.09,-1.3,-1.3
ENG-Premier League,1718,Stoke City,Badou Ndiaye,SEN,MF,26,1990,12.6,2,19,6,31.6,1.5,0.47,0.11,0.33,23.7,0,0,0,1.6,1.6,0.08,0.4,0.4
ENG-Premier League,1718,Stoke City,Bojan Krkić,ESP,MF,26,1990,0.8,0,1,0,0.0,1.27,0.0,0.0,,20.5,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,1718,Stoke City,Bruno Martins Indi,NED,DF,25,1992,13.8,0,4,0,0.0,0.29,0.0,0.0,,11.2,0,0,0,1.0,1.0,0.25,-1.0,-1.0
ENG-Premier League,1718,Stoke City,Charlie Adam,SCO,MF,31,1985,4.6,0,9,2,22.2,1.97,0.44,0.0,0.0,31.5,3,0,1,1.6,0.9,0.09,-1.6,-0.9
ENG-Premier League,1718,Stoke City,Darren Fletcher,SCO,MF,33,1984,24.7,1,11,2,18.2,0.45,0.08,0.09,0.5,25.8,0,0,0,0.4,0.4,0.03,0.6,0.6
ENG-Premier League,1718,Stoke City,Eric Maxim Choupo-Moting,CMR,"FW,MF",28,1989,25.7,5,60,18,30.0,2.33,0.7,0.08,0.28,16.3,0,0,0,5.9,5.9,0.1,-0.9,-0.9
ENG-Premier League,1718,Stoke City,Erik Pieters,NED,DF,28,1988,30.2,0,3,1,33.3,0.1,0.03,0.0,0.0,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1718,Stoke City,Geoff Cameron,USA,"DF,MF",32,1985,16.9,0,5,0,0.0,0.3,0.0,0.0,,14.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,1718,Stoke City,Glen Johnson,ENG,DF,32,1984,6.1,0,2,1,50.0,0.33,0.16,0.0,0.0,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,1718,Stoke City,Ibrahim Afellay,NED,MF,31,1986,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Stoke City,Jack Butland,ENG,GK,24,1993,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Stoke City,Jesé,ESP,"FW,MF",24,1993,6.8,1,12,4,33.3,1.76,0.59,0.08,0.25,18.8,0,0,0,0.9,0.9,0.08,0.1,0.1
ENG-Premier League,1718,Stoke City,Joe Allen,WAL,MF,27,1990,34.9,2,24,4,16.7,0.69,0.11,0.08,0.5,18.4,0,0,0,1.8,1.8,0.08,0.2,0.2
ENG-Premier League,1718,Stoke City,Josh Tymon,ENG,DF,18,1999,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Stoke City,Julien Ngoy,BEL,MF,19,1997,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Stoke City,Kevin Wimmer,AUT,DF,24,1992,14.7,0,1,0,0.0,0.07,0.0,0.0,,16.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1718,Stoke City,Kostas Stafylidis,GRE,"DF,MF",23,1993,3.7,0,4,0,0.0,1.07,0.0,0.0,,27.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1718,Stoke City,Kurt Zouma,FRA,DF,22,1994,32.1,1,20,7,35.0,0.62,0.22,0.05,0.14,21.0,0,0,0,1.3,1.2,0.06,-0.3,-0.2
ENG-Premier League,1718,Stoke City,Lasse Sørensen,DEN,MF,17,1999,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Stoke City,Lee Grant,ENG,GK,34,1983,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Stoke City,Mame Biram Diouf,SEN,"FW,DF",29,1987,28.8,6,59,19,32.2,2.05,0.66,0.1,0.32,13.5,0,0,0,6.5,6.5,0.11,-0.5,-0.5
ENG-Premier League,1718,Stoke City,Moritz Bauer,AUT,"DF,MF",25,1992,14.5,0,3,1,33.3,0.21,0.07,0.0,0.0,17.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ENG-Premier League,1718,Stoke City,Peter Crouch,ENG,FW,36,1981,17.4,5,23,9,39.1,1.32,0.52,0.22,0.56,13.3,0,0,0,4.2,4.2,0.18,0.8,0.8
ENG-Premier League,1718,Stoke City,Ramadan Sobhi,EGY,"MF,FW",20,1997,13.8,2,13,6,46.2,0.95,0.44,0.15,0.33,18.2,0,0,0,1.2,1.2,0.1,0.8,0.8
ENG-Premier League,1718,Stoke City,Ryan Shawcross,ENG,DF,29,1987,26.3,1,24,8,33.3,0.91,0.3,0.04,0.13,10.0,0,0,0,2.5,2.5,0.1,-1.5,-1.5
ENG-Premier League,1718,Stoke City,Saido Berahino,BDI,FW,23,1993,5.5,0,9,3,33.3,1.64,0.55,0.0,0.0,18.9,0,0,1,2.0,1.2,0.14,-2.0,-1.2
ENG-Premier League,1718,Stoke City,Stephen Ireland,IRL,"MF,FW",30,1986,1.5,0,3,0,0.0,2.06,0.0,0.0,,18.5,0,0,0,0.4,0.4,0.12,-0.4,-0.4
ENG-Premier League,1718,Stoke City,Tom Edwards,ENG,"DF,MF",18,1999,5.3,0,1,0,0.0,0.19,0.0,0.0,,34.1,0,0,0,0.0,0.0,0.01,0.0,0.0
ENG-Premier League,1718,Stoke City,Tyrese Campbell,ENG,FW,17,1999,0.9,0,2,1,50.0,2.28,1.14,0.0,0.0,12.1,0,0,0,0.2,0.2,0.1,-0.2,-0.2
ENG-Premier League,1718,Stoke City,Xherdan Shaqiri,SUI,"MF,FW",25,1991,33.8,8,68,30,44.1,2.01,0.89,0.12,0.27,22.3,8,0,1,5.0,4.2,0.06,3.0,3.8
ENG-Premier League,1718,Swansea City,Alfie Mawson,ENG,DF,23,1994,38.0,2,20,5,25.0,0.53,0.13,0.1,0.4,12.5,0,0,0,1.9,1.9,0.09,0.1,0.1
ENG-Premier League,1718,Swansea City,André Ayew,GHA,"MF,FW",27,1989,10.6,0,13,7,53.8,1.23,0.66,0.0,0.0,13.0,0,0,0,1.9,1.9,0.14,-1.9,-1.9
ENG-Premier League,1718,Swansea City,Andy King,WAL,MF,28,1988,7.9,2,8,4,50.0,1.01,0.5,0.25,0.5,19.8,0,0,0,1.0,1.0,0.12,1.0,1.0
ENG-Premier League,1718,Swansea City,Connor Roberts,WAL,DF,21,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Swansea City,Federico Fernández,ARG,DF,28,1989,29.7,1,8,2,25.0,0.27,0.07,0.13,0.5,10.5,0,0,0,0.7,0.7,0.08,0.3,0.3
ENG-Premier League,1718,Swansea City,Jay Fulton,SCO,MF,23,1994,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Swansea City,Jordan Ayew,GHA,"FW,MF",25,1991,31.7,7,65,20,30.8,2.05,0.63,0.09,0.3,18.9,4,1,1,7.3,6.5,0.1,-0.3,-0.5
ENG-Premier League,1718,Swansea City,Ki Sung-yueng,KOR,MF,28,1989,20.8,2,20,6,30.0,0.96,0.29,0.1,0.33,24.8,1,0,0,0.9,0.9,0.05,1.1,1.1
ENG-Premier League,1718,Swansea City,Kyle Bartley,ENG,DF,26,1991,2.6,0,2,0,0.0,0.77,0.0,0.0,,9.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1718,Swansea City,Kyle Naughton,ENG,DF,28,1988,33.7,0,12,1,8.3,0.36,0.03,0.0,0.0,23.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4
ENG-Premier League,1718,Swansea City,Leon Britton,ENG,MF,34,1982,3.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Swansea City,Leroy Fer,NED,MF,27,1990,15.5,1,12,3,25.0,0.77,0.19,0.08,0.33,14.6,0,0,0,1.6,1.6,0.14,-0.6,-0.6
ENG-Premier League,1718,Swansea City,Luciano Narsingh,NED,"FW,MF",26,1990,6.9,1,9,5,55.6,1.3,0.72,0.11,0.2,15.9,0,0,0,0.8,0.8,0.09,0.2,0.2
ENG-Premier League,1718,Swansea City,Martin Olsson,SWE,DF,29,1988,35.0,0,18,1,5.6,0.51,0.03,0.0,0.0,22.3,1,0,0,0.9,0.9,0.05,-0.9,-0.9
ENG-Premier League,1718,Swansea City,Mike van der Hoorn,NED,DF,24,1992,21.6,1,10,4,40.0,0.46,0.19,0.1,0.25,14.3,0,0,0,1.0,1.0,0.1,0.0,0.0
ENG-Premier League,1718,Swansea City,Nathan Dyer,ENG,"MF,FW",29,1987,14.5,0,10,2,20.0,0.69,0.14,0.0,0.0,21.4,0,0,0,0.9,0.9,0.09,-0.9,-0.9
ENG-Premier League,1718,Swansea City,Oliver McBurnie,SCO,"FW,MF",21,1996,3.1,0,5,3,60.0,1.63,0.98,0.0,0.0,10.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4
ENG-Premier League,1718,Swansea City,Renato Sanches,POR,MF,19,1997,7.8,0,12,0,0.0,1.54,0.0,0.0,,28.5,4,0,0,0.5,0.5,0.04,-0.5,-0.5
ENG-Premier League,1718,Swansea City,Roque Mesa,ESP,MF,28,1989,8.4,0,7,1,14.3,0.84,0.12,0.0,0.0,27.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2
ENG-Premier League,1718,Swansea City,Sam Clucas,ENG,MF,26,1990,22.7,3,20,7,35.0,0.88,0.31,0.15,0.43,17.5,0,0,0,2.6,2.6,0.14,0.4,0.4
ENG-Premier League,1718,Swansea City,Tammy Abraham,ENG,FW,19,1997,19.2,5,42,13,31.0,2.19,0.68,0.12,0.38,13.1,0,0,0,6.8,6.8,0.16,-1.8,-1.8
ENG-Premier League,1718,Swansea City,Tom Carroll,ENG,MF,25,1992,28.6,0,20,3,15.0,0.7,0.11,0.0,0.0,23.8,5,0,0,0.9,0.9,0.05,-0.9,-0.9
ENG-Premier League,1718,Swansea City,Wayne Routledge,ENG,"MF,FW",32,1985,4.8,0,5,2,40.0,1.05,0.42,0.0,0.0,14.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4
ENG-Premier League,1718,Swansea City,Wilfried Bony,CIV,FW,28,1988,7.9,2,20,6,30.0,2.55,0.76,0.1,0.33,18.0,0,0,0,1.6,1.6,0.08,0.4,0.4
ENG-Premier League,1718,Swansea City,Àngel Rangel,ESP,DF,34,1982,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Swansea City,Łukasz Fabiański,POL,GK,32,1985,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Tottenham,Ben Davies,WAL,DF,24,1993,25.8,2,18,6,33.3,0.7,0.23,0.11,0.33,21.2,0,0,0,1.1,1.1,0.06,0.9,0.9
ENG-Premier League,1718,Tottenham,Christian Eriksen,DEN,"MF,FW",25,1992,35.8,10,97,39,40.2,2.71,1.09,0.1,0.26,23.0,16,0,0,7.0,7.0,0.07,3.0,3.0
ENG-Premier League,1718,Tottenham,Danny Rose,ENG,DF,27,1990,8.9,0,7,1,14.3,0.79,0.11,0.0,0.0,18.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6
ENG-Premier League,1718,Tottenham,Davinson Sánchez,COL,DF,21,1996,28.2,0,9,1,11.1,0.32,0.04,0.0,0.0,13.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5
ENG-Premier League,1718,Tottenham,Dele Alli,ENG,"MF,FW",21,1996,32.9,9,69,17,24.6,2.1,0.52,0.13,0.53,15.9,0,0,0,9.1,9.1,0.13,-0.1,-0.1
ENG-Premier League,1718,Tottenham,Eric Dier,ENG,"MF,DF",23,1994,31.4,0,32,7,21.9,1.02,0.22,0.0,0.0,17.5,1,0,0,2.0,2.0,0.06,-2.0,-2.0
ENG-Premier League,1718,Tottenham,Fernando Llorente,ESP,"FW,MF",32,1985,2.6,1,6,2,33.3,2.27,0.76,0.17,0.5,12.5,0,0,0,1.0,1.0,0.17,0.0,0.0
ENG-Premier League,1718,Tottenham,Georges-Kévin N'Koudou,CMR,MF,22,1995,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Tottenham,Harry Kane,ENG,FW,24,1993,34.2,30,181,72,39.8,5.3,2.11,0.15,0.39,16.9,10,2,3,24.8,22.4,0.12,5.2,5.6
ENG-Premier League,1718,Tottenham,Harry Winks,ENG,MF,21,1996,8.6,0,3,0,0.0,0.35,0.0,0.0,,29.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,1718,Tottenham,Hugo Lloris,FRA,GK,30,1986,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Tottenham,Jan Vertonghen,BEL,DF,30,1987,35.6,0,24,3,12.5,0.67,0.08,0.0,0.0,21.9,0,0,0,1.0,1.0,0.04,-1.0,-1.0
ENG-Premier League,1718,Tottenham,Kieran Trippier,ENG,DF,26,1990,21.3,0,7,1,14.3,0.33,0.05,0.0,0.0,24.4,1,0,0,0.4,0.4,0.06,-0.4,-0.4
ENG-Premier League,1718,Tottenham,Kyle Walker-Peters,ENG,DF,20,1997,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Tottenham,Lucas Moura,BRA,"FW,MF",24,1992,2.3,0,5,2,40.0,2.14,0.86,0.0,0.0,24.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,1718,Tottenham,Michel Vorm,NED,GK,33,1983,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Tottenham,Mousa Dembélé,BEL,MF,30,1987,20.9,0,11,3,27.3,0.53,0.14,0.0,0.0,24.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4
ENG-Premier League,1718,Tottenham,Moussa Sissoko,FRA,"MF,FW",27,1989,15.6,1,19,7,36.8,1.22,0.45,0.05,0.14,15.8,0,0,0,2.2,2.2,0.12,-1.2,-1.2
ENG-Premier League,1718,Tottenham,Paulo Gazzaniga,ARG,GK,25,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Tottenham,Serge Aurier,CIV,DF,24,1992,15.9,2,15,5,33.3,0.94,0.31,0.13,0.4,21.2,0,0,0,0.8,0.8,0.05,1.2,1.2
ENG-Premier League,1718,Tottenham,Son Heung-min,KOR,FW,25,1992,25.6,12,75,33,44.0,2.93,1.29,0.16,0.36,16.3,0,0,0,10.2,10.2,0.14,1.8,1.8
ENG-Premier League,1718,Tottenham,Toby Alderweireld,BEL,DF,28,1989,13.1,0,10,1,10.0,0.76,0.08,0.0,0.0,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,1718,Tottenham,Victor Wanyama,KEN,MF,26,1991,9.4,1,12,3,25.0,1.28,0.32,0.08,0.33,23.1,0,0,0,0.5,0.5,0.04,0.5,0.5
ENG-Premier League,1718,Tottenham,Vincent Janssen,NED,DF,23,1994,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Tottenham,Érik Lamela,ARG,"FW,MF",25,1992,9.4,2,20,6,30.0,2.14,0.64,0.1,0.33,14.2,0,0,0,3.4,3.4,0.17,-1.4,-1.4
ENG-Premier League,1718,Watford,Abdoulaye Doucouré,MLI,MF,24,1993,36.9,7,47,17,36.2,1.27,0.46,0.15,0.41,20.7,0,0,0,3.5,3.5,0.08,3.5,3.5
ENG-Premier League,1718,Watford,Adrian Mariappa,JAM,DF,30,1986,24.6,0,10,2,20.0,0.41,0.08,0.0,0.0,13.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7
ENG-Premier League,1718,Watford,Andre Gray,JAM,FW,26,1991,16.6,5,34,13,38.2,2.04,0.78,0.15,0.38,12.3,0,0,0,6.7,6.7,0.2,-1.7,-1.7
ENG-Premier League,1718,Watford,André Carrillo,PER,"FW,MF",26,1991,17.1,1,24,3,12.5,1.4,0.18,0.04,0.33,17.8,0,0,0,2.3,2.3,0.1,-1.3,-1.3
ENG-Premier League,1718,Watford,Ben Watson,ENG,MF,32,1985,5.1,0,1,0,0.0,0.2,0.0,0.0,,32.9,1,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1718,Watford,Christian Kabasele,BEL,DF,26,1991,25.9,2,10,5,50.0,0.39,0.19,0.2,0.4,10.7,0,0,0,0.7,0.7,0.07,1.3,1.3
ENG-Premier League,1718,Watford,Craig Cathcart,NIR,DF,28,1989,5.8,0,2,1,50.0,0.34,0.17,0.0,0.0,10.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,1718,Watford,Daryl Janmaat,NED,DF,28,1989,20.2,3,24,10,41.7,1.19,0.49,0.13,0.3,20.3,0,0,0,1.8,1.8,0.08,1.2,1.2
ENG-Premier League,1718,Watford,Dodi Lukebakio,BEL,"MF,FW",19,1997,0.2,0,1,0,0.0,5.63,0.0,0.0,,29.6,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,1718,Watford,Gerard Deulofeu,ESP,"FW,MF",23,1994,4.8,1,8,4,50.0,1.66,0.83,0.13,0.25,20.1,2,0,0,0.5,0.5,0.07,0.5,0.5
ENG-Premier League,1718,Watford,Heurelho Gomes,BRA,GK,36,1981,23.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Watford,Jerome Sinclair,ENG,"MF,FW",20,1996,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Watford,José Holebas,GRE,DF,33,1984,26.5,0,17,3,17.6,0.64,0.11,0.0,0.0,25.9,2,0,0,0.6,0.6,0.03,-0.6,-0.6
ENG-Premier League,1718,Watford,Kiko Femenía,ESP,"DF,FW",26,1991,19.0,1,9,3,33.3,0.47,0.16,0.11,0.33,20.7,0,0,0,0.4,0.4,0.04,0.6,0.6
ENG-Premier League,1718,Watford,Marvin Zeegelaar,NED,DF,26,1990,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Watford,Miguel Britos,URU,DF,32,1985,8.9,1,4,2,50.0,0.45,0.23,0.25,0.5,17.4,0,0,0,0.8,0.8,0.2,0.2,0.2
ENG-Premier League,1718,Watford,Molla Wagué,MLI,DF,26,1991,4.9,1,3,1,33.3,0.62,0.21,0.33,1.0,7.6,0,0,0,0.4,0.4,0.13,0.6,0.6
ENG-Premier League,1718,Watford,Nathaniel Chalobah,ENG,MF,22,1994,5.0,0,12,4,33.3,2.42,0.81,0.0,0.0,22.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8
ENG-Premier League,1718,Watford,Nordin Amrabat,MAR,FW,30,1987,2.2,0,1,0,0.0,0.45,0.0,0.0,,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1718,Watford,Orestis Karnezis,GRE,GK,32,1985,14.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Watford,Richarlison,BRA,"FW,MF",20,1997,31.4,5,95,22,23.2,3.03,0.7,0.05,0.23,15.1,2,0,0,10.3,10.3,0.11,-5.3,-5.3
ENG-Premier League,1718,Watford,Roberto Pereyra,ARG,"MF,FW",26,1991,18.0,5,33,13,39.4,1.83,0.72,0.15,0.38,17.0,2,0,0,3.3,3.3,0.1,1.7,1.7
ENG-Premier League,1718,Watford,Sebastian Prödl,AUT,DF,30,1987,17.4,0,8,1,12.5,0.46,0.06,0.0,0.0,11.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6
ENG-Premier League,1718,Watford,Stefano Okaka,ITA,FW,27,1989,5.0,1,10,2,20.0,1.99,0.4,0.1,0.5,12.6,0,0,0,1.8,1.8,0.18,-0.8,-0.8
ENG-Premier League,1718,Watford,Tom Cleverley,ENG,MF,27,1989,21.1,1,15,3,20.0,0.71,0.14,0.07,0.33,21.5,1,0,1,1.9,1.1,0.07,-0.9,-0.1
ENG-Premier League,1718,Watford,Troy Deeney,ENG,FW,29,1988,20.5,5,31,10,32.3,1.51,0.49,0.06,0.2,17.1,0,3,5,6.9,2.8,0.09,-1.9,-0.8
ENG-Premier League,1718,Watford,Will Hughes,ENG,MF,22,1995,11.0,2,12,4,33.3,1.09,0.36,0.17,0.5,21.0,0,0,0,0.6,0.6,0.05,1.4,1.4
ENG-Premier League,1718,Watford,Younès Kaboul,FRA,DF,31,1986,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,Watford,Étienne Capoue,FRA,MF,29,1988,17.1,1,23,3,13.0,1.34,0.18,0.04,0.33,28.1,0,0,0,0.8,0.8,0.04,0.2,0.2
ENG-Premier League,1718,West Brom,Ahmed Hegazi,EGY,DF,26,1991,37.6,2,14,4,28.6,0.37,0.11,0.14,0.5,10.8,0,0,0,1.7,1.7,0.12,0.3,0.3
ENG-Premier League,1718,West Brom,Allan Nyom,CMR,DF,29,1988,25.7,0,3,0,0.0,0.12,0.0,0.0,,35.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,1718,West Brom,Ben Foster,ENG,GK,34,1983,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,West Brom,Boaz Myhill,WAL,GK,34,1982,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,West Brom,Chris Brunt,NIR,"MF,DF",32,1984,21.3,0,25,5,20.0,1.17,0.23,0.0,0.0,26.4,8,0,0,1.8,1.8,0.07,-1.8,-1.8
ENG-Premier League,1718,West Brom,Claudio Yacob,ARG,MF,30,1987,10.0,0,8,1,12.5,0.8,0.1,0.0,0.0,16.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
ENG-Premier League,1718,West Brom,Craig Dawson,ENG,DF,27,1990,27.9,2,16,4,25.0,0.57,0.14,0.13,0.5,10.1,0,0,0,2.3,2.3,0.15,-0.3,-0.3
ENG-Premier League,1718,West Brom,Daniel Sturridge,ENG,FW,27,1989,1.3,0,3,0,0.0,2.29,0.0,0.0,,19.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,1718,West Brom,Gareth Barry,ENG,MF,36,1981,21.4,1,16,6,37.5,0.75,0.28,0.06,0.17,18.2,1,0,0,1.6,1.6,0.1,-0.6,-0.6
ENG-Premier League,1718,West Brom,Gareth McAuley,NIR,DF,37,1979,5.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,West Brom,Grzegorz Krychowiak,POL,MF,27,1990,18.2,0,17,3,17.6,0.93,0.16,0.0,0.0,23.3,1,0,0,0.8,0.8,0.05,-0.8,-0.8
ENG-Premier League,1718,West Brom,Hal Robson-Kanu,WAL,"FW,MF",28,1989,9.2,2,19,8,42.1,2.07,0.87,0.11,0.25,13.5,0,0,0,2.4,2.4,0.13,-0.4,-0.4
ENG-Premier League,1718,West Brom,Jake Livermore,ENG,MF,27,1989,29.7,2,15,4,26.7,0.5,0.13,0.13,0.5,18.2,0,0,0,2.3,2.3,0.16,-0.3,-0.3
ENG-Premier League,1718,West Brom,James McClean,IRL,"MF,FW",28,1989,15.6,1,30,6,20.0,1.92,0.38,0.03,0.17,20.3,1,0,0,1.8,1.8,0.06,-0.8,-0.8
ENG-Premier League,1718,West Brom,James Morrison,SCO,MF,31,1986,2.3,1,4,2,50.0,1.74,0.87,0.25,0.5,9.1,0,0,0,1.0,1.0,0.26,0.0,0.0
ENG-Premier League,1718,West Brom,Jay Rodriguez,ENG,"FW,MF",28,1989,31.2,7,68,23,33.8,2.18,0.74,0.09,0.26,17.6,0,1,1,8.4,7.6,0.11,-1.4,-1.6
ENG-Premier League,1718,West Brom,Jonny Evans,NIR,DF,29,1988,25.2,2,10,5,50.0,0.4,0.2,0.2,0.4,7.8,0,0,0,2.1,2.1,0.22,-0.1,-0.1
ENG-Premier League,1718,West Brom,Kieran Gibbs,ENG,DF,27,1989,31.4,0,9,1,11.1,0.29,0.03,0.0,0.0,18.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,1718,West Brom,Matt Phillips,SCO,"MF,DF",26,1991,23.3,2,28,7,25.0,1.2,0.3,0.07,0.29,20.3,1,0,0,2.4,2.4,0.09,-0.4,-0.4
ENG-Premier League,1718,West Brom,Nacer Chadli,BEL,"FW,MF",27,1989,2.9,1,4,2,50.0,1.38,0.69,0.25,0.5,27.1,2,0,0,0.2,0.2,0.05,0.8,0.8
ENG-Premier League,1718,West Brom,Oliver Burke,SCO,"FW,MF",20,1997,4.1,0,4,0,0.0,0.98,0.0,0.0,,15.2,0,0,0,0.5,0.5,0.12,-0.5,-0.5
ENG-Premier League,1718,West Brom,Rekeem Harper,ENG,MF,17,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1718,West Brom,Salomón Rondón,VEN,FW,27,1989,30.7,7,79,29,36.7,2.57,0.94,0.09,0.24,16.6,1,0,0,7.0,7.0,0.09,0.0,0.0
ENG-Premier League,1718,West Brom,Sam Field,ENG,MF,19,1998,6.0,1,5,1,20.0,0.84,0.17,0.2,1.0,11.4,0,0,0,0.5,0.5,0.11,0.5,0.5
ENG-Premier League,1718,West Ham,Aaron Cresswell,ENG,DF,27,1989,34.1,1,21,6,28.6,0.62,0.18,0.05,0.17,28.7,8,0,0,0.8,0.8,0.04,0.2,0.2
ENG-Premier League,1718,West Ham,Adrián,ESP,GK,30,1987,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
